81,13735,19412,9096
87,11841,17224,8341
87,11868,16981,8519
81,13024,18264,9750
75,15313,21115,12110
75,17603,23776,14340
80,18299,24576,15019
80,19503,25958,16254
75,20159,26716,17020
70,20760,27365,17650
0,21439,28069,18323
0,0,0,0
87,21451,28079,18327
87,22091,28734,18971
86,22682,29340,19556
86,23202,29857,20071
86,23757,30419,20618
85,24271,30941,21122
85,24632,31299,21499
85,25085,31774,21957
68,25479,32171,22346
68,25874,32577,22746
68,26398,33109,23250
79,26748,33460,23604
80,27162,33861,24002
75,27427,34144,24284
76,27485,34240,24423
76,27715,34590,24801
76,27924,34926,25159
80,28192,35271,25495
80,28407,35548,25788
78,28628,35837,26081
77,28830,36087,26345
80,29040,36344,26634
77,29164,36517,26840
73,29271,36647,26960
86,29401,36810,27123
73,29627,37100,27394
73,29840,37361,27635
73,29995,37564,27835
74,30142,37748,28016
74,30299,37952,28216
74,30462,38163,28424
80,30638,38376,28631
69,30751,38526,28786
69,30923,38730,28989
69,31143,38956,29210
69,31480,39333,29559
69,31600,39499,29739
60,31516,39416,29675
64,31581,39509,29775
69,31546,39519,29803
69,31531,39530,29835
64,31610,39647,29951
69,31691,39770,30073
69,31777,39897,30202
74,31849,40005,30313
80,31924,40122,30454
71,31952,40159,30483
80,31975,40199,30521
80,32093,40371,30680
86,32230,40568,30866
80,32345,40736,31027
74,32488,40959,31263
66,32558,41075,31384
66,32609,41170,31484
92,32644,41238,31564
92,32694,41325,31659
92,32920,41601,31914
92,33017,41748,32079
92,33096,41866,32167
80,33220,42027,32318
74,33361,42214,32502
74,33429,42335,32608
0,33421,42362,32658
86,33336,42308,32573
82,33426,42461,32725
82,33486,42569,32843
77,33488,42613,32908
77,33487,42633,32948
77,33568,42750,33057
68,33605,42797,33086
68,33637,42868,33159
68,33694,42967,33266
86,33741,43059,33361
86,33820,43213,33516
86,33785,43184,33512
86,33916,43373,33677
72,33991,43501,33810
86,34193,43764,34057
86,34321,43898,34181
80,34464,44067,34331
86,34369,43995,34284
86,34391,44068,34335
86,34358,44068,34352
86,34402,44148,34437
86,34449,44227,34522
86,34482,44286,34589
86,34541,44379,34710
86,34545,44385,34689
86,34573,44433,34734
86,34537,44412,34734
80,34617,44537,34858
86,34666,44621,34938
86,34687,44664,34987
93,34734,44759,35090
93,34804,44870,35200
87,34809,44891,35227
87,34849,44956,35294
86,34859,44964,35321
81,35012,45158,35502
81,35304,45425,35760
81,35350,45494,35787
81,35425,45579,35862
81,35288,45464,35781
76,35164,45360,35697
76,35002,45207,35592
87,35026,45243,35618
87,35000,45241,35651
81,35034,45319,35747
87,35041,45326,35741
87,35007,45284,35710
87,34987,45288,35725
87,35053,45379,35803
87,35060,45409,35835
81,35058,45420,35849
93,35077,45458,35889
81,35085,45475,35904
87,35100,45503,35932
87,35089,45505,35942
86,35103,45530,35972
0,35089,45517,35965
90,35215,45670,36103
90,35475,45899,36302
94,35600,46032,36417
87,35561,46024,36420
94,35405,45910,36321
95,35278,45795,36238
95,35209,45744,36206
95,35121,45663,36155
94,35035,45574,36089
94,35062,45621,36143
81,35080,45654,36174
87,35174,45775,36303
87,35203,45815,36316
93,35267,45900,36385
76,35224,45863,36357
70,35280,45955,36435
75,35270,45968,36445
75,35231,45944,36422
75,35194,45931,36408
81,35163,45907,36390
81,35129,45886,36373
81,35080,45854,36356
75,35070,45870,36371
0,35042,45860,36389
75,35168,46005,36514
70,35188,46055,36564
70,35170,46028,36547
80,35178,46074,36584
80,35186,46105,36610
78,35183,46111,36618
65,35009,45976,36522
60,34792,45794,36398
60,34695,45741,36391
60,34682,45767,36435
64,34691,45828,36505
86,34673,45979,36749
86,34695,46020,36775
93,34636,45967,36749
89,34800,46200,36952
93,34882,46307,37053
93,35113,46631,37392
93,35244,46810,37566
93,35293,46884,37650
86,35386,46996,37760
89,35425,47049,37814
74,35442,47088,37856
74,35428,47088,37873
74,35459,47155,37943
0,35553,47203,37997
64,35793,47436,38195
65,35496,47193,38004
60,35445,47141,37989
60,35325,47011,37886
74,35070,46758,37664
0,34886,46601,37508
85,34718,46399,37346
0,34785,46498,37428
86,34824,46542,37506
